nr	ANNEX A: controls SECTION	section	ANNEX A: controls TITLE	Appendix A 27001 Control specification	HIGH LEVEL INTERPRETATION 	Decomposed USM statements	CTM	CHM	MIR	INC	OPS	RIM	TECH	SDC	ORG	SERV
101	Organisational Controls	Annex A 5.7	Threat Intelligence	Information relating to information security threats shall be collected and analysed to produce threat intelligence.		ASSET is a class of MIC.		CHM	MIR							
102	Organisational Controls	Annex A 5.7	Threat Intelligence	Information relating to information security threats shall be collected and analysed to produce threat intelligence.		ASSET_SW is an Asset type Software, has a field <licensed>.		CHM	MIR				TECH			
103	Organisational Controls	Annex A 5.7	Threat Intelligence	Information relating to information security threats shall be collected and analysed to produce threat intelligence.		ASSET_SW_SDCTOOL is an Asset type Software used for managing, coordinating, and executing the service delivery, including coordination function with Registers for Wishes (ASSET_SW_SDCTOOL_REGCTM), Changes (ASSET_SW_SDCTOOL_REGCHM), Incidents (ASSET_SW_SDCTOOL_REGINC), Service requests (ASSET_SW_SDCTOOL_REGOPS), and Risks (ASSET_SW_SDCTOOL_REGRIM).		CHM	MIR				TECH	SDC		
104	Organisational Controls	Annex A 5.7	Threat Intelligence	Information relating to information security threats shall be collected and analysed to produce threat intelligence.		ASSET_SW_SDCTOOL_REGOPS is a Register for Service requests in the ASSET_SW_SDCTOOL.					OPS		TECH	SDC		
105	Organisational Controls	Annex A 5.7	Threat Intelligence	Information relating to information security threats shall be collected and analysed to produce threat intelligence.		ASSET_SW_SDCTOOL_REGOPS_RECORD is a record in the ASSET_SW_SDCTOOL_REGOPS, containing a field <uses projmgt technique>, and classified, including class <information security risk>.					OPS		TECH	SDC		
106	Organisational Controls	Annex A 5.7	Threat Intelligence	Information relating to information security threats shall be collected and analysed to produce threat intelligence.		ASSET_SW_SDCTOOL_REGOPS_OPScalendar with planned actions of ASSET_SW_SDCTOOL_REGOPS assigned to Personnel, is part of the SDCTOOL.					OPS		TECH	SDC		
107	Organisational Controls	Annex A 5.7	Threat Intelligence	Information relating to information security threats shall be collected and analysed to produce threat intelligence.		ASSET_SW_SDCTOOL_REGOPS_OPScalendar has planned actions for collecting and analysing information relating to information security threats to produce threat intelligence.					OPS					
108	Organisational Controls	Annex A 5.7	Threat Intelligence	Information relating to information security threats shall be collected and analysed to produce threat intelligence.		DOC is a class of MIC.		CHM	MIR							
109	Organisational Controls	Annex A 5.7	Threat Intelligence	Information relating to information security threats shall be collected and analysed to produce threat intelligence.		DOC_PROFILE is a Document type Profile, specifying tasks, authorities, responsibilities that can be assigned as a role or function package to a ORG_UNIT_PERSONNEL, and it has a field <security> and a list of other DOC_PROFILE it conflicts with, and it is classified as <manager>, <coordinator>, or <operator>.		CHM	MIR						ORG	
110	Organisational Controls	Annex A 5.7	Threat Intelligence	Information relating to information security threats shall be collected and analysed to produce threat intelligence.		DOC_PROFILE_TASK is a Document type Profile type Task, specifying authorities and responsibilities for actions that are part of a DOC_PROFILE.		CHM	MIR						ORG	
111	Organisational Controls	Annex A 5.7	Threat Intelligence	Information relating to information security threats shall be collected and analysed to produce threat intelligence.		DOC_PROFILE_TASK_collectanalyzesecthreatinfo exist, responsible for collecting and analyzing information relating to information security threats to produce threat intelligence.		CHM	MIR						ORG	
112	Organisational Controls	Annex A 5.7	Threat Intelligence	Information relating to information security threats shall be collected and analysed to produce threat intelligence.		ORG is a class of MIC.		CHM	MIR						ORG	
113	Organisational Controls	Annex A 5.7	Threat Intelligence	Information relating to information security threats shall be collected and analysed to produce threat intelligence.		ORG_UNIT is an Organization type Team.		CHM	MIR						ORG	
114	Organisational Controls	Annex A 5.7	Threat Intelligence	Information relating to information security threats shall be collected and analysed to produce threat intelligence.		ORG_UNIT_PERSONNEL is an Organization type Team type Personnel.		CHM	MIR						ORG	
115	Organisational Controls	Annex A 5.7	Threat Intelligence	Information relating to information security threats shall be collected and analysed to produce threat intelligence.		ORG_UNIT_PERSONNEL exist, assigned with the DOC_PROFILE_TASK_collectanalyzesecthreatinfo .		CHM	MIR						ORG	
116	Organisational Controls	Annex A 5.8	Information Security in Project Management	Information security shall be integrated into project management.	There is a project management guide that specifies how projects must be handled. This project management guide specifies how information security is handled. Any call in the SDC tool that applies a project management technique for any action included in the call is classified as 'uses projmgt technique'.											
117	Organisational Controls	Annex A 5.8	Information Security in Project Management	Information security shall be integrated into project management.		DOC is a class of MIC.		CHM	MIR							
118	Organisational Controls	Annex A 5.8	Information Security in Project Management	Information security shall be integrated into project management.		DOC_POLICY is a Document type Policy, with a field <topic-specific>.		CHM	MIR							
119	Organisational Controls	Annex A 5.8	Information Security in Project Management	Information security shall be integrated into project management.		DOC_POLICY_projmgt specifies the guide to Project management.		CHM	MIR							
120	Organisational Controls	Annex A 5.8	Information Security in Project Management	Information security shall be integrated into project management.		DOC_POLICY_projmgt includes how to handle security management.		CHM	MIR							
121	Organisational Controls	Annex A 5.8	Information Security in Project Management	Information security shall be integrated into project management.		ASSET is a class of MIC.		CHM	MIR							
122	Organisational Controls	Annex A 5.8	Information Security in Project Management	Information security shall be integrated into project management.		ASSET_SW is an Asset type Software, has a field <licensed>.		CHM	MIR				TECH			
123	Organisational Controls	Annex A 5.8	Information Security in Project Management	Information security shall be integrated into project management.		ASSET_SW_SDCTOOL is an Asset type Software used for managing, coordinating, and executing the service delivery, including coordination function with Registers for Wishes (ASSET_SW_SDCTOOL_REGCTM), Changes (ASSET_SW_SDCTOOL_REGCHM), Incidents (ASSET_SW_SDCTOOL_REGINC), Service requests (ASSET_SW_SDCTOOL_REGOPS), and Risks (ASSET_SW_SDCTOOL_REGRIM).		CHM	MIR				TECH	SDC		
